Country of Citizenship,2015,2016,2017,2018
India,"5,270","8,180","28,905","33,180"
"China, People's Republic of","1,515","2,150","6,320","5,165"
Nigeria,495,765,"3,755","4,770"
Pakistan,400,695,"2,585","2,480"
United Kingdom and Overseas Territories,"1,390","1,225","2,005","2,065"
Brazil,250,385,"1,340","1,505"
United States of America,730,910,"1,500","1,310"
France,475,670,"1,020","1,160"
Iran,225,400,"1,090","1,055"
"Korea, Republic of",540,690,990,"1,035"
"Ireland, Republic of",995,965,990,"1,005"
Australia,475,660,"1,015",930
Bangladesh,195,250,820,825
Egypt,115,215,950,790
Philippines,"3,070","1,530",985,745
Russia,225,320,715,660
Ukraine,240,345,595,545
Morocco,50,60,245,540
Jamaica,255,205,600,535
Mexico,345,330,545,510
"South Africa, Republic of",195,305,695,495
Vietnam,60,100,430,485
Algeria,10,30,145,405
Germany,255,275,345,370
Sri Lanka,125,105,265,360
Turkey,60,100,390,345
Lebanon,80,100,370,315
"Cameroon, Federal Republic of",15,30,135,300
Italy,190,175,275,270
Ghana,45,80,215,265
Mauritius,45,55,195,255
Venezuela,70,105,315,245
Tunisia,15,30,140,240
Colombia,55,70,210,225
New Zealand,150,130,185,225
"Trinidad and Tobago, Republic of",40,35,205,220
Jordan,50,55,205,220
Spain,145,160,205,210
Israel,135,195,235,210
Nepal,120,105,200,200
Taiwan,70,60,185,200
Poland,200,145,170,200
Hong Kong,75,85,250,190
Malaysia,60,65,225,180
Japan,145,140,170,165
Singapore,50,70,180,155
Zimbabwe,30,35,190,150
"Netherlands, The",105,120,135,150
Belgium,60,65,115,145
"Indonesia, Republic of",50,70,135,135
Kenya,40,45,145,135
Czech Republic,75,100,105,130
Kazakhstan,20,30,130,115
Portugal,100,105,80,105
Peru,20,30,95,100
Saudi Arabia,30,50,120,100
Romania,80,55,85,95
Dominican Republic,25,30,80,90
Chile,25,45,95,85
Syria,25,25,130,75
"Bahama Islands, The",25,35,85,75
Azerbaijan,5,20,80,70
Argentina,30,30,55,70
"Congo, Democratic Republic of the",5,--,30,70
Barbados,25,30,75,65
"Serbia, Republic of",60,60,90,65
Slovak Republic,35,40,75,65
Switzerland,35,40,55,65
Greece,45,45,60,60
Albania,10,35,70,55
Hungary,65,65,45,55
Ecuador,20,15,70,55
"Sudan, Democratic Republic of",--,15,70,55
Sweden,15,30,35,55
"Ivory Coast, Republic of",--,5,40,50
Croatia,165,130,70,50
Belarus,20,25,40,50
Palestinian Authority (Gaza/West Bank),5,10,40,50
El Salvador,15,15,40,45
Uganda,20,15,50,45
Guyana,10,10,65,45
Thailand,25,20,40,45
Libya,15,25,40,45
"Tanzania, United Republic of",10,15,60,40
Iraq,5,15,50,40
Haiti,--,--,25,30
Honduras,15,10,35,30
Lithuania,35,25,40,30
Yemen,15,15,45,30
Finland,10,20,30,30
Ethiopia,10,5,30,30
Austria,35,20,35,25
Bulgaria,15,15,35,25
Senegal,5,--,35,25
Armenia,10,25,40,25
Stateless,15,15,75,25
Uzbekistan,10,--,35,25
St. Lucia,5,10,35,20
Moldova,25,20,20,20
Cuba,5,--,15,20
Zambia,5,10,45,20
"Botswana, Republic of",--,--,20,20
"Mongolia, People's Republic of",0,--,10,20
Kyrgyzstan,--,--,20,20
Madagascar,0,--,10,20
Burkina-Faso,0,--,10,20
Latvia,20,15,20,15
Rwanda,--,--,15,15
"Panama, Republic of",--,--,25,15
Slovenia,10,10,25,15
Costa Rica,--,10,15,15
Denmark,25,15,25,15
Guatemala,5,--,15,15
Bahrain,--,--,20,15
Estonia,10,15,10,15
Macedonia,10,15,25,15
Bolivia,--,--,15,15
"Benin, Republic of",--,--,10,10
"Togo, Republic of",--,--,10,10
Burundi,5,--,10,10
"Mali, Republic of",--,--,10,10
St. Vincent and the Grenadines,--,5,10,10
Norway,10,10,15,10
Afghanistan,--,5,10,10
Antigua and Barbuda,--,5,20,10
Grenada,--,0,15,10
Macau,--,--,5,10
Myanmar (Burma),--,5,15,10
Belize,--,--,10,10
Bosnia-Herzegovina,5,10,--,10
Kuwait,--,5,10,10
Georgia,--,--,5,10
"Guinea, Republic of",--,--,10,5
"Congo, People's Republic of the",0,--,--,5
"Djibouti, Republic of",--,0,0,5
Iceland,5,--,5,5
St. Kitts-Nevis,--,--,5,5
Dominica,--,--,10,5
Namibia,--,0,10,5
Sierra Leone,--,--,5,5
Cambodia,--,--,--,5
Gabon Republic,--,--,--,5
"Kosovo, Republic of",5,10,10,5
Lesotho,--,0,--,5
Nicaragua,--,0,--,5
Surinam,--,0,0,5
Fiji,35,10,15,5
"Niger, Republic of the",--,--,--,5
Canada,--,--,0,0
Malta,--,--,10,0
Oman,--,0,--,0
United Arab Emirates,--,0,--,0
Gambia,--,0,10,0
Mauritania,0,0,--,0
Angola,0,--,--,0
Liberia,0,0,0,0
Malawi,--,--,--,0
Qatar,0,--,--,0
"Somalia, Democratic Republic of",--,0,5,0
Swaziland,--,--,0,0
Turkmenistan,0,0,5,0
Andorra,0,0,0,0
Bhutan,--,0,--,0
Central African Republic,--,--,0,0
"Chad, Republic of",0,0,10,0
Cyprus,--,--,10,0
Luxembourg,--,--,--,0
Mozambique,0,--,0,0
Paraguay,--,--,--,0
"South Sudan, Republic of",0,0,0,0
Tajikistan,0,--,5,0
Union of Soviet Socialist Republics,0,0,0,0
Uruguay,--,--,5,0
"Virgin Islands, British",0,0,0,0
Eritrea,--,5,--,0
Brunei,--,0,--,0
"Equatorial Guinea, Republic of",0,0,0,0
"Netherlands Antilles, The",0,0,0,0
Comoros,0,0,--,0
Laos,0,0,--,0
"Maldives, Republic of",0,0,--,0
"Montenegro, Republic of",0,0,--,0
Papua New Guinea,--,0,0,0
San Marino,0,0,--,0
Seychelles,0,0,--,0
"Solomons, The",0,0,--,0
Country of citizenship not stated,--,--,0,0
Total - All Citizenships,"21,545","25,740","67,750","71,740"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
